ID NAP;DIRECCION;Puertos_Utilizados;Puertos_Disponibles;Latitud;Longitud
LABO-TANDIL;Santamarina 450 , TANDIL;7;1;-37,3257523;-59,1300813
SM-C05-40;Roser 1578, TANDIL;4;4;-37,3291518;-59,1173412
SM-C01-07;BUZON 830, TANDIL;0;16;-37,3169184;-59,1205074
SM-C01-08;AV BUZON 792, TANDIL;2;14;-37,3172934;-59,1203199
SM-C01-09;AV BUZON 736, TANDIL;2;6;-37,3179058;-59,1199413
SM-C01-11;AV BUZON 708, TANDIL;0;16;-37,3183732;-59,1198196
SM-C01-12;AV BUZON 696, TANDIL;4;12;-37,3186034;-59,1196357
SM-C01-13;AV BUZON 674, TANDIL;3;5;-37,3187878;-59,1194481
SM-C01-15;AV BUZON 795, TANDIL;5;11;-37,3195556;-59,1190312
SM-C01-16;AV BUZON 584, TANDIL;1;15;-37,3196615;-59,118848
SM-C01-17;AV BUZON 556, TANDIL;2;6;-37,3201966;-59,1186163
SM-C01-19;AV BUZON 498, TANDIL;5;11;-37,3208472;-59,1183544
SM-C01-20;AV BUZON 484, TANDIL;4;12;-37,3210575;-59,1181102
SM-C01-21;AV BUZON 456, TANDIL;2;6;-37,3214417;-59,1178715
SM-C01-23;AV BUZON 426, TANDIL;3;13;-37,3218128;-59,1176241
SM-C01-24;AV BUZON 402, TANDIL;7;9;-37,3222904;-59,1172398
SM-C01-25;AV BUZON 342, TANDIL;1;7;-37,3229179;-59,1169587
SM-C01-27;AV BUZON 308, TANDIL;2;14;-37,3232472;-59,1168744
SM-C01-28;AV BUZON 284, TANDIL;3;13;-37,3234735;-59,116773
SM-C01-29;AV BUZON 270, TANDIL;3;5;-37,3237713;-59,1165729
SM-C01-31;AV BUZON 244, TANDIL;3;13;-37,3241107;-59,1163163
SM-C01-32;AV BUZON 198, TANDIL;1;15;-37,3247175;-59,1159573
SM-C01-33;AV BUZON 158, TANDIL;0;8;-37,3253193;-59,1155264
SM-C01-35;AV BUZON 134, TANDIL;0;16;-37,325606;-59,1153865
SM-C01-36;AV BUZON 74, TANDIL;0;16;-37,3259625;-59,1151894
SM-C01-37;AV BUZON 46, TANDIL;0;8;-37,3264487;-59,1149817
SM-C01-40;AV AVELLANEDA 1738, TANDIL;2;6;-37,3271409;-59,1155192
SM-C02-04;SAAVEDRA 898, TANDIL;4;12;-37,3166788;-59,1224099
SM-C02-05;SAAVEDRA 864, TANDIL;3;5;-37,3170059;-59,1222411
SM-C02-07;SAAVEDRA 802, TANDIL;4;12;-37,3177387;-59,1219062
SM-C02-08;SAAVEDRA 798, TANDIL;6;10;-37,3178737;-59,1218408
SM-C02-09;SAAVEDRA 751, TANDIL;0;8;-37,3184597;-59,1214572
SM-C02-11;SAAVEDRA 702, TANDIL;3;13;-37,3188667;-59,1211924
SM-C02-12;SAAVEDRA 695, TANDIL;5;11;-37,3190578;-59,1210911
SM-C02-13;SAAVEDRA 670, TANDIL;8;0;-37,3194359;-59,1209306
SM-C02-15;SAAVEDRA 608, TANDIL;5;11;-37,3201024;-59,1205678
SM-C02-16;SAAVEDRA 699, TANDIL;8;8;-37,3203013;-59,120522
SM-C02-17;SAAVEDRA 560, TANDIL;3;5;-37,3206469;-59,1202694
SM-C02-19;SAAVEDRA 532, TANDIL;4;12;-37,3209685;-59,1199534
SM-C02-20;SAAVEDRA 496, TANDIL;6;10;-37,3214086;-59,1197737
SM-C02-21;SAAVEDRA 436, TANDIL;7;1;-37,322243;-59,1192813
SM-C02-23;SAAVEDRA 405, TANDIL;5;11;-37,3226513;-59,1189672
SM-C02-24;SAAVEDRA 398, TANDIL;7;9;-37,3228268;-59,1189543
SM-C02-27;SAAVEDRA 309, TANDIL;4;12;-37,3238548;-59,1182831
SM-C02-28;SAAVEDRA 298, TANDIL;6;10;-37,3240324;-59,1181932
SM-C02-29;SAAVEDRA 240, TANDIL;4;4;-37,3246482;-59,1177843
SM-C02-31;SAAVEDRA 198, TANDIL;1;15;-37,325089;-59,1175501
SM-C02-32;25 de MAYO 699, TANDIL;7;9;-37,3251463;-59,1175575
SM-C02-33;SAAVEDRA 154, TANDIL;1;7;-37,3257141;-59,117108
SM-C02-35;SAAVEDRA 108, TANDIL;11;5;-37,3261171;-59,116899
SM-C02-36;SAAVEDRA 92, TANDIL;5;11;-37,3265633;-59,1166545
SM-C02-37;SAAVEDRA 50, TANDIL;2;6;-37,3269212;-59,1164274
SM-C02-39;AV AVELLANEDA 1698, TANDIL;1;15;-37,3274477;-59,1161377
SM-C02-41;AV AVELLANEDA 1678, TANDIL;1;7;-37,3275591;-59,1165509
SM-C03-04;MARCONI 1599, TANDIL;3;13;-37,3172354;-59,1239753
SM-C03-05;MORENO 833, TANDIL;3;5;-37,3177555;-59,1236634
SM-C03-07;MORENO 810, TANDIL;10;6;-37,3182698;-59,1234099
SM-C03-08;MORENO 798, TANDIL;6;10;-37,3185849;-59,1231781
SM-C03-09;MORENO 742, TANDIL;5;3;-37,3189732;-59,1228968
SM-C03-11;MORENO 706, TANDIL;1;15;-37,3195255;-59,1226008
SM-C03-12;MORENO 694, TANDIL;7;9;-37,3196219;-59,1225592
SM-C03-13;MORENO 666, TANDIL;2;6;-37,3199276;-59,1223817
SM-C03-15;MORENO 608, TANDIL;1;15;-37,320562;-59,1220146
SM-C03-16;MORENO 599, TANDIL;0;16;-37,320794;-59,1218842
SM-C03-17;MORENO 550, TANDIL;8;0;-37,321229;-59,1215854
SM-C03-19;MORENO 508, TANDIL;5;11;-37,321842;-59,1212424
SM-C03-20;GENERAL PINTO 1595, TANDIL;2;14;-37,321987;-59,1211902
SM-C03-21;MORENO 471, TANDIL;5;3;-37,3223282;-59,1209191
SM-C03-23;MORENO 426, TANDIL;2;14;-37,3228852;-59,1205861
SM-C03-24;MORENO 396, TANDIL;10;6;-37,3234153;-59,1203379
SM-C03-25;MORENO 530, TANDIL;4;12;-37,3235367;-59,1198209
SM-C03-27;MORENO 320, TANDIL;7;9;-37,3244506;-59,1195735
SM-C03-28;MORENO 286, TANDIL;1;15;-37,324563;-59,1196593
SM-C03-29;MORENO 238, TANDIL;4;4;-37,3252467;-59,1192234
SM-C03-31;MORENO 214, TANDIL;1;15;-37,3254149;-59,119084
SM-C03-32;MORENO 195, TANDIL;8;8;-37,3263953;-59,1186325
SM-C03-33;MORENO 152, TANDIL;2;6;-37,3263361;-59,1185655
SM-C03-35;MORENO 110, TANDIL;2;14;-37,3267594;-59,1183982
SM-C03-36;CONSTITUCION 1599, TANDIL;13;3;-37,3269352;-59,1182491
SM-C04-04;MONTIEL 897, TANDIL;1;15;-37,3178238;-59,1256449
SM-C04-05;MONTIEL 849, TANDIL;3;5;-37,3183564;-59,1251094
SM-C04-07;MONTIEL 809, TANDIL;7;9;-37,3188237;-59,1248291
SM-C04-08;MONTIEL 792, TANDIL;6;10;-37,3190271;-59,1247735
SM-C04-09;MONTIEL 770, TANDIL;2;6;-37,3192945;-59,124527
SM-C04-11;MONTIEL 705, TANDIL;3;13;-37,3201226;-59,1242388
SM-C04-12;MONTIEL 692, TANDIL;5;11;-37,3201592;-59,1240359
SM-C04-13;MONTIEL 638, TANDIL;4;4;-37,3208653;-59,1237177
SM-C04-15;MONTIEL 602, TANDIL;6;10;-37,3211485;-59,1235203
SM-C04-19;MONTIEL 526, TANDIL;3;13;-37,3220907;-59,1228855
SM-C04-22;MONTIEL 435, TANDIL;1;15;-37,3233903;-59,1221312
SM-C04-23;MONTIEL 408, TANDIL;3;13;-37,3237489;-59,1218344
SM-C04-24;MONTIEL 381, TANDIL;5;11;-37,3240251;-59,1217721
SM-C04-27;MONTIEL 401, TANDIL;3;13;-37,3249458;-59,1210962
SM-C04-28;MONTIEL 284, TANDIL;0;16;-37,3251764;-59,1209518
SM-C04-29;MONTIEL 245, TANDIL;1;7;-37,3256822;-59,1206647
SM-C04-37;MONTIEL 54, TANDIL;4;4;-37,327994;-59,1195811
SM-C04-41;MONTIEL 5, TANDIL;2;6;-37,328237;-59,1188504
SM-C04-42;AVELLANEDA 1550, TANDIL;6;2;-37,328297;-59,1184216
SM-C05-04;11 DE SEPTIEMBRE 880, TANDIL;7;9;-37,3182779;-59,1268988
SM-C05-05;11 DE SEPTIEMBRE 851, TANDIL;5;3;-37,3188191;-59,1266187
SM-C05-07;11 DE SEPTIEMBRE 821, TANDIL;4;12;-37,3191909;-59,1262751
SM-C05-08;11 DE SEPTIEMBRE 771, TANDIL;9;7;-37,3196783;-59,1260272
SM-C05-09;11 DE SEPTIEMBRE 729, TANDIL;7;1;-37,320247;-59,125694
SM-C05-11;11 DE SEPTIEMBRE 706, TANDIL;4;12;-37,3205576;-59,1254643
SM-C05-12;11 DE SEPTIEMBRE 689, TANDIL;4;12;-37,3206916;-59,1254315
SM-C05-13;11 DE SEPTIEMBRE 653, TANDIL;8;0;-37,3213497;-59,1250761
SM-C05-15;11 DE SEPTIEMBRE 626, TANDIL;6;10;-37,3216538;-59,1247805
SM-C05-16;11 DE SEPTIEMBRE 579, TANDIL;1;15;-37,3221165;-59,1244713
SM-C05-17;11 DE SEPTIEMBRE 557, TANDIL;1;7;-37,3223216;-59,124386
SM-C05-19;11 DE SEPTIEMBRE 508, TANDIL;1;15;-37,3229943;-59,1242925
SM-C05-20;11 DE SEPTIEMBRE 487, TANDIL;2;14;-37,3230992;-59,1238957
SM-C05-21;11 DE SEPTIEMBRE 463, TANDIL;8;8;-37,3236179;-59,1236685
SM-C05-22;11 DE SEPTIEMBRE 445, TANDIL;1;15;-37,3238477;-59,1236258
SM-C05-23;11 DE SEPTIEMBRE 407, TANDIL;3;13;-37,3243341;-59,1232832
SM-C05-24;11 DE SEPTIEMBRE 380, TANDIL;5;11;-37,3247242;-59,123073
SM-C05-25;11 DE SEPTIEMBRE 325, TANDIL;0;8;-37,3252174;-59,1227727
SM-C05-27;11 DE SEPTIEMBRE 306, TANDIL;3;13;-37,3255381;-59,1227858
SM-C05-28;11 DE SEPTIEMBRE 287, TANDIL;1;15;-37,325642;-59,1224725
SM-C05-29;11 DE SEPTIEMBRE 241, TANDIL;4;4;-37,3262234;-59,1221596
SM-C05-31;11 DE SEPTIEMBRE 211, TANDIL;9;7;-37,3266619;-59,1219424
SM-C05-32;11 DE SEPTIEMBRE 169, TANDIL;0;16;-37,327128;-59,1216557
SM-C05-33;11 DE SEPTIEMBRE 141, TANDIL;3;5;-37,3273212;-59,121521
